Cidade,UF,População,Possui_Plano_Municipal,População_sem_Água,População_sem_Esgoto,População_sem_coleta_de_lixo,Domicílios_sujeitos_à_inundações
Esperantinópolis,MA,16971,Em elaboração,49.78,--,14.27,3.60
Taguatinga,TO,16966,Não,21.47,38.63,16.3,--
Cocal do Sul,SC,16956,Sim,0.97,--,0.01,8.60
Brasilândia de Minas,MG,16950,Não,17.96,78.31,64.6,0
Tapiramutá,BA,16939,Não,20.16,54.73,--,1.10
Nova Resende,MG,16937,Não,43.73,--,0.00,0
Capela,AL,16907,Sim,47.95,--,0.00,--
Poço Fundo,MG,16900,Sim,46.76,--,36.5,10.00
Cidreira,RS,16897,Sim,7.56,93.67,--,0.40
Guapiara,SP,16896,Em elaboração,32.92,63.99,34.85,0
Pedregulho,SP,16876,Em elaboração,17.98,20.15,--,--
Tapauá,AM,16876,Não,3.00,--,0.00,11.90
Malhada,BA,16875,Não,49.04,--,--,--
Carapebus,RJ,16859,Não,76.69,2.01,0.00,3.10
Araçagi,PB,16857,Não,38.05,--,--,--
Campanha,MG,16855,Não,20.8,23.66,13.65,0.50
Piatã,BA,16854,Não,0.00,90.19,29.46,0
Canudos,BA,16832,Não,44.71,61.38,44.71,0
Juruena,MT,16811,Em elaboração,45.53,--,39.28,0
Ipuã,SP,16794,Não,3.48,3.48,4.14,0
Tabatinga,SP,16787,Em elaboração,6.65,6.71,7.67,0
Fortim,CE,16776,Não,63.18,--,10.53,0.70
João Neiva,ES,16774,Em elaboração,0.09,4.58,6.27,33.20
Bonito,PA,16769,Em elaboração,--,--,--,--
Tocantins,MG,16769,Em elaboração,0.00,0.00,18.96,0
Maranhãozinho,MA,16754,Em elaboração,86.68,--,35.87,--
Lima Duarte,MG,16749,Em elaboração,6.48,7.44,23.45,0
Salitre,CE,16714,Em elaboração,79.95,96.78,40.17,0
Pedro Alexandre,BA,16698,Não,71.31,--,58.08,2.00
Poté,MG,16675,Não,43.27,52.04,40.4,1.70
Urandi,BA,16672,Sim,0.13,64.02,45.92,0.90
