Cidade;UF;População;Possui Plano Municipal;População sem Água;População sem Esgoto;População sem coleta de lixo;Domicílios sujeitos à inundações;Coluna1
Monte Santo;BA;49145;Não;0.64;;0.43;0;0
Pacajá;PA;49110;Em elaboração;;;0.67;0.25;0
Pedreira;SP;48992;Sim;0.02;0.02;0;0.07;979,84
Bom Conselho;PE;48975;Não;0.3;;;0.02;0
Maracaju;MS;48944;Em elaboração;0.15;0.7;0.14;0.01;34260,8
Lapa;PR;48651;Sim;0.19;0.38;0.4;0;18487,38
Mauriti;CE;48370;Sim;0.73;0.94;0.07;0;45467,8
São Benedito;CE;48354;Não;0.59;0.84;0.2;0;40617,36
Presidente Dutra;MA;48264;Não;0.72;;0.21;0.01;0
Tremembé;SP;48228;Em elaboração;0;0.03;0;0;1446,84
Nova Mutum;MT;48222;Sim;0;;0;0;0
Santa Cruz do Rio Pardo;SP;48207;Sim;0;0;0.01;0;0
Aquidauana;MS;48184;Em elaboração;0.22;0.85;0.21;0.03;40956,4
Conceição do Araguaia;PA;48115;Em elaboração;0.53;;0.16;0;0
Monte Carmelo;MG;48049;Sim;0;0.16;0;0;7687,84
João Pinheiro;MG;47990;Sim;0.27;0.31;0.01;0;14876,9
Diamantina;MG;47924;Sim;0.15;0.33;0.17;0;15814,92
Santana do Ipanema;AL;47910;Não;0.24;0.81;0.2;0.06;38807,1
Cornélio Procópio;PR;47840;Sim;0;0;0;0;0
Ribeirão;PE;47813;Em elaboração;0.29;;;;0
Mairinque;SP;47723;Sim;0.07;0.22;0.01;0.02;10499,06
Lábrea;AM;47685;Não;0.39;;0.36;0.25;0
Mata de São João;BA;47643;Sim;0.01;0.46;0.1;0;21915,78
Atalaia;AL;47540;Não;0.63;;0.49;0.05;0
Pederneiras;SP;47523;Sim;0;0.01;0.07;0;475,23
Barras;PI;47298;Não;0.51;;0.57;0.02;0
Dracena;SP;47287;Em elaboração;0;0.08;0.08;0.03;3782,96
Sena Madureira;AC;47168;Não;0.67;;0.41;0.26;0
São Mateus do Sul;PR;47137;Sim;0.34;0.59;0.38;0;27810,83
Capão Bonito;SP;47098;Sim;0.02;0.13;0.08;0;6122,74
Araioses;MA;47095;Em elaboração;0.85;;0.48;0;0
Toritama;PE;47088;Não;0.2;0.23;0;0.04;10830,24
Niquelândia;GO;47064;Em elaboração;0.22;0.66;;0;31062,24
São Gabriel da Cachoeira;AM;47031;Não;0.5;;0.38;0.01;0
Morrinhos;GO;46955;Sim;0.14;0.24;0.13;0;11269,2
Campo Maior;PI;46950;Sim;0;;0.47;;0
Medianeira;PR;46940;Em elaboração;0;0.5;0.11;0.01;23470
Augusto Corrêa;PA;46937;Não;0.95;;0.3;0.02;0
Guajará-Mirim;RO;46930;Não;0.57;0.92;0.15;0.09;43175,6
Poções;BA;46885;Sim;0.18;;;;0
Sirinhaém;PE;46845;Em elaboração;0.41;0.83;;0.02;38881,35
Osório;RS;46815;Sim;0.16;0.97;0.01;0.01;45410,55
Guaramirim;SC;46757;Sim;0.07;;0;0.1;0
Xique-Xique;BA;46562;Não;0;0.86;0.29;;40043,32
São Lourenço;MG;46539;Em elaboração;0;0.08;0;0.05;3723,12
Santo Antônio da Platina;PR;46503;Em elaboração;0;0.01;0.13;0;465,03
Laguna;SC;46424;Sim;0;0.33;0;0;15319,92
Livramento de Nossa Senhora;BA;46372;Não;0.5;;;;0
Santos Dumont;MG;46357;Sim;0.24;0.47;0.12;0.02;21787,79
Salto de Pirapora;SP;46285;Sim;0;0.19;0;0;8794,15
Goianira;GO;46278;Em elaboração;0.04;0.63;0.02;0;29155,14
Paraguaçu Paulista;SP;46180;Sim;0.04;0.05;0;0;2309
Serrana;SP;46166;Não;0.03;0.03;0;0;1384,98
Pontes e Lacerda;MT;46105;Em elaboração;0.16;0.35;0.25;0;16136,75
São Bento;MA;45989;Em elaboração;0.52;;0.57;0.01;0
Ipiaú;BA;45969;Sim;0.09;0.71;0.09;0.01;32637,99
Canela;RS;45957;Sim;0.09;0.81;0;0.02;37225,17
Mangaratiba;RJ;45941;Em elaboração;0.12;;0.21;0.01;0
Porangatu;GO;45866;Em elaboração;0.15;0.54;0.16;0;24767,64
Casimiro de Abreu;RJ;45864;Em elaboração;0.17;0.42;0.04;0.03;19262,88
Imbituba;SC;45711;Sim;0;0.93;0;0.01;42511,23
Timbó;SC;45703;Sim;0;;0;0.43;0
Jardinópolis;SP;45544;Em elaboração;0;0;0.04;0;0
Marau;RS;45523;Sim;0.16;0.83;0.13;0;37784,09
Xinguara;PA;45416;Sim;0.55;0.95;0.22;0;43145,2
Uruará;PA;45395;Não;;;;;0
Mamanguape;PB;45385;Em elaboração;0.56;0.85;0.19;;38577,25
Caeté;MG;45364;Sim;0.02;0.1;0;0.01;4536,4
Barra de São Francisco;ES;45301;Não;0.44;0.78;0;0;35334,78
Currais Novos;RN;45022;Em elaboração;0.23;0.37;0.02;0.1;16658,14
Maragogipe;BA;44902;Em elaboração;0.41;0.68;0.23;0.05;30533,36
Benjamin Constant;AM;44873;Não;0.53;;0.47;0.16;0
Paraíba do Sul;RJ;44741;Sim;0.13;0.28;0.64;0.01;12527,48
Orlândia;SP;44682;Sim;0.02;0.02;0.03;0;893,64
União;PI;44649;Não;0.5;0.57;0.35;0.01;25449,93
Espírito Santo do Pinhal;SP;44607;Sim;0.1;0.11;0.09;0.03;4906,77
Panambi;RS;44583;Sim;0.09;0.99;0;0.02;44137,17
Presidente Epitácio;SP;44572;Sim;0;0.11;0;0.02;4902,92
Teotônio Vilela;AL;44570;Em elaboração;0.13;0.37;0;0;16490,9
São José de Mipibu;RN;44566;Em elaboração;0.37;0.99;0.55;0;44120,34
Igarapé;MG;44561;Sim;0.17;0.59;0.06;0.01;26290,99
São Sebastião do Passé;BA;44554;Em elaboração;0.2;0.95;0.1;0.01;42326,3
Garça;SP;44429;Em elaboração;0.09;0.09;0.09;0;3998,61
Queimadas;PB;44388;Em elaboração;0.28;0.98;0.14;0.08;43500,24
Seabra;BA;44370;Não;0.52;;0.47;0.22;0
Itaberaí;GO;44329;Em elaboração;0.17;0.48;0.1;0;21277,92
Santa Rita do Sapucaí;MG;44226;Não;0.18;0.19;0;0.48;8402,94
Amontada;CE;44195;Não;;;;;0
Vera Cruz;BA;44185;Não;0.11;0.76;;;33580,6
Paraty;RJ;44175;Sim;0.05;0.94;0.19;0.42;41524,5
Nova Viçosa;BA;44170;Não;0.14;0.96;0.14;0.34;42403,2
Campina Grande do Sul;PR;44072;Em elaboração;0;0.02;0;0.01;881,44
Campo Verde;MT;44033;Em elaboração;0.19;0.32;0.08;0;14090,56
Águas Belas;PE;43923;Não;0.52;0.63;0.32;0.05;27671,49
Mombaça;CE;43917;Não;0.72;;0.45;0;0
Catende;PE;43778;Sim;0.13;;;;0
Tarauacá;AC;43730;Sim;0.67;;0.46;;0
Santa Quitéria;CE;43719;Não;0.61;0;0.09;0;0
Itápolis;SP;43536;Sim;0.01;0.01;0.03;0;435,36
São Lourenço do Sul;RS;43501;Sim;0.44;;0.19;0.01;0
Santo Antônio da Patrulha;RS;43397;Sim;0.38;1;0.01;0;43397
Vargem Grande do Sul;SP;43368;Sim;0.05;0.05;0.03;0;2168,4
Pedra Branca;CE;43359;Não;0.61;;0.2;;0
Visconde do Rio Branco;MG;43351;Sim;0.25;0.3;0.03;0.34;13005,3
Rosário;MA;43243;Não;0.02;;0.41;0;0
Estreito;MA;43097;Em elaboração;;;0.23;0.05;0
Tietê;SP;42946;Sim;0.1;0.17;0;0;7300,82
Barreiros;PE;42866;Não;0.07;0.7;;0.28;30006,2
Santa Helena;MA;42829;Sim;0.99;;0.16;0.24;0
Mucuri;BA;42729;Em elaboração;0.3;0.66;0.06;0;28201,14
Santo Antônio de Pádua;RJ;42705;Sim;0.01;0.18;0.23;0.03;7686,9
Rio Negrinho;SC;42684;Sim;0;0.21;0.02;0.11;8963,64
Machado;MG;42682;Não;0.01;0.01;0;0.18;426,82
Itarema;CE;42595;Não;0.83;0.96;0.51;0.29;40891,2
Eldorado do Sul;RS;42490;Sim;0.1;0.84;0.01;0.18;35691,6
Porto de Moz;PA;42456;Não;0.58;;0.57;0.44;0
Paranaíba;MS;42401;Em elaboração;0.12;0.23;0.11;0;9752,23
Itabaianinha;SE;42399;Em elaboração;0.24;0.35;0.4;0;14839,65
Almenara;MG;42380;Em elaboração;0.21;0.28;0.16;0.07;11866,4
Borba;AM;42328;Não;0.03;;0.6;0;0
