Cidade;UF;População;Possui Plano Municipal;População sem Água;População sem Esgoto;População sem coleta de lixo;Domicílios sujeitos à inundações;Coluna1
Chapadão do Céu;GO;10797;Sim;0.16;0.16;0.16;0;1727,52
Juruaia;MG;10795;Não;0.53;0.51;0.51;0.01;5505,45
Pirapetinga;MG;10791;Em elaboração;0.26;0.32;0.12;0.14;3453,12
Mercês;MG;10775;Sim;0.32;0;0.3;0.03;0
Sete Quedas;MS;10751;Em elaboração;0.18;;0.17;0;0
Jandaíra;BA;10742;Não;0.41;;0.07;0.01;0
Piraúba;MG;10732;Em elaboração;0.27;0.07;0.15;0;751,24
Alto Rio Doce;MG;10723;Sim;0.59;0.5;0.58;0;5361,5
Ouroeste;SP;10712;Em elaboração;0;0;0;0;0
Cedral;MA;10711;Em elaboração;;;;;0
Missal;PR;10706;Sim;0.31;;0.48;0;0
Brotas de Macaúbas;BA;10705;Em elaboração;0.71;0.82;0.36;0;8778,1
Centenário do Sul;PR;10704;Não;0;0.71;0.17;0;7599,84
Gilbués;PI;10698;Sim;0.65;;0.63;0;0
São Luís do Paraitinga;SP;10693;Não;0.41;0.46;0.08;0.19;4918,78
Mirante da Serra;RO;10691;Não;0.75;;;;0
Jaguari;RS;10684;Sim;0.43;;0.43;0.16;0
Aragoiânia;GO;10680;Sim;0.35;;0.06;0;0
Seberi;RS;10678;Sim;0;;0.29;0;0
Brejolândia;BA;10675;Sim;0.74;;0.51;;0
Cabeceiras do Piauí;PI;10671;Em elaboração;0.78;;0.83;0;0
Babaçulândia;TO;10668;Em elaboração;0.43;;0.53;0;0
Trajano de Moraes;RJ;10653;Em elaboração;0.7;;;;0
Cajobi;SP;10649;Sim;0.01;0.01;0.07;0;106,49
Serra Caiada;RN;10646;Em elaboração;0;0.78;0;0;8303,88
Santana do Mundaú;AL;10637;Não;0.48;0.64;0.46;0.83;6807,68
Ronda Alta;RS;10633;Sim;0.33;;0;0.01;0
Sucupira do Norte;MA;10631;Sim;0.61;;0.53;0;0
Faxinal dos Guedes;SC;10630;Sim;0.03;0.28;0.28;0;2976,4
Ribeirão Claro;PR;10622;Sim;0;0.34;0.23;0.01;3611,48
Monte Alegre do Piauí;PI;10618;Não;0.62;;;;0
Nova Floresta;PB;10614;Não;1;;0.25;0.25;0
Caroebe;RR;10595;Não;0.52;;0.62;;0
Coité do Nóia;AL;10594;Não;0.78;;0.66;;0
Pirpirituba;PB;10590;Não;0.16;;0.24;0.05;0
Santa Inês;BA;10583;Não;0.06;0.28;0.02;0.05;2963,24
Irani;SC;10575;Não;0.16;;;0.01;0
Bujari;AC;10572;Em elaboração;0.46;0.99;0.48;0;10466,28
Tapera;RS;10569;Sim;0.16;0.95;0.16;0;10040,55
Monsenhor Gil;PI;10563;Em elaboração;0.3;;0.17;0.02;0
Fernando Falcão;MA;10559;Em elaboração;;;;;0
Pariconha;AL;10546;Sim;0.24;;0.52;0;0
São José do Jacuípe;BA;10546;Não;0.15;;;;0
Grossos;RN;10541;Em elaboração;0.28;;0.05;0;0
Nova Prata do Iguaçu;PR;10540;Em elaboração;0.05;;0.42;0;0
São José do Calçado;ES;10536;Sim;0.34;0.12;0.1;0.05;1264,32
Bom Repouso;MG;10527;Não;0.47;0.48;0;0;5052,96
Floresta Azul;BA;10525;Não;0.31;;0.16;0.05;0
Rio Acima;MG;10524;Não;0.01;0.13;0.05;0.17;1368,12
Recreio;MG;10522;Não;0;0.12;0.12;0.12;1262,64
Santa Teresinha;BA;10520;Não;0.3;0.59;0.49;0.03;6206,8
Érico Cardoso;BA;10513;Não;0.29;;0.48;0;0
Campos Lindos;TO;10505;Em elaboração;0.3;;0.27;0;0
Arraias;TO;10502;Em elaboração;0.22;;0.05;0.02;0
Guadalupe;PI;10496;Não;0.02;0.31;;;3253,76
Santa Cruz do Arari;PA;10496;Não;0.1;;0.51;0;0
Sarapuí;SP;10493;Sim;0.1;0.49;0.08;0.05;5141,57
Umarizal;RN;10485;Em elaboração;0.03;;;;0
Arroio do Sal;RS;10483;Em elaboração;0.16;;0.05;0.01;0
Beneditinos;PI;10479;Sim;0.35;;0.24;0;0
Senhora dos Remédios;MG;10474;Sim;0.34;0.55;0.55;0.09;5760,7
Jitaúna;BA;10470;Não;0.34;;;;0
Mulungu do Morro;BA;10469;Não;0.31;;0.25;0;0
Cristino Castro;PI;10464;Em elaboração;0.21;;0.27;0.08;0
Jatobá;MA;10464;Não;0.7;;0.56;0.01;0
Espírito Santo;RN;10463;Em elaboração;0.3;0.84;;;8788,92
Virginópolis;MG;10459;Sim;0.39;0.03;0.3;0.04;313,77
Ribeirão Cascalheira;MT;10450;Em elaboração;0.38;;0.71;0;0
Natuba;PB;10449;Não;0.64;;;;0
São Miguel do Gostoso;RN;10441;Sim;0.89;0.53;;0.25;5533,73
Itarana;ES;10433;Sim;0.38;0.54;0.33;0.37;5633,82
Apiacás;MT;10431;Sim;0.55;;0;0.01;0
Branquinha;AL;10426;Não;0.65;0.65;0;;6776,9
Paranã;TO;10426;Não;0.47;;0.54;0;0
Arvorezinha;RS;10422;Em elaboração;0.39;;;0;0
Catunda;CE;10410;Sim;0.58;;0;0;0
Santa Maria Madalena;RJ;10380;Em elaboração;0.59;0.43;0;0.09;4463,4
Água Branca;PB;10375;Em elaboração;0.79;0.57;0.57;0.01;5913,75
Dona Inês;PB;10375;Sim;1;;0.5;0;0
Januário Cicco;RN;10367;Em elaboração;0.41;;;;0
Cachoeira dos Índios;PB;10364;Não;0.55;0.64;0.32;0;6632,96
Florestópolis;PR;10360;Sim;0;0.17;;;1761,2
Marcionílio Souza;BA;10357;Não;0.33;;0.13;0.04;0
Ninheira;MG;10355;Em elaboração;0.73;;0.48;;0
Riachuelo;SE;10354;Em elaboração;0.19;;0;0.11;0
Pintadas;BA;10353;Em elaboração;0.35;0.49;0.44;0.01;5072,97
Conceição da Aparecida;MG;10351;Não;0.4;0.37;0.34;0;3829,87
Theobroma;RO;10348;Em elaboração;0.91;;;;0
Barracão;PR;10347;Não;0.21;;0.25;0;0
Dário Meira;BA;10347;Em elaboração;0.61;;;;0
Centralina;MG;10343;Sim;0.26;0.64;;;6619,52
Serrano do Maranhão;MA;10343;Não;;;;;0
Buenópolis;MG;10342;Sim;0.38;0.44;0.23;0.03;4550,48
Aruanã;GO;10340;Não;0.2;0.57;0.13;0;5893,8
Jacinto Machado;SC;10337;Sim;0.06;;0.32;0.04;0
Urucânia;MG;10333;Sim;0.28;0;;0.01;0
Mariluz;PR;10327;Em elaboração;0;0.53;0.17;0;5473,31
Bom Jesus;RN;10323;Em elaboração;0;;0.28;;0
Terra Nova;PE;10314;Não;0;;0.21;0.17;0
Francisco Badaró;MG;10311;Não;0.59;0.85;0.64;0.04;8764,35
Guaraciaba;MG;10307;Sim;0.68;0.7;0.37;0.12;7214,9
Carmo do Rio Verde;GO;10299;Em elaboração;0.21;;;;0
Maiquinique;BA;10294;Não;0.21;;0.22;0.01;0
Dores de Campos;MG;10291;Em elaboração;0;0.09;0.09;0.25;926,19
Itapitanga;BA;10284;Não;0.2;0.25;0.26;0.21;2571
Bela Vista de Minas;MG;10269;Sim;0.23;0.06;0.02;0.01;616,14
Rubim;MG;10269;Sim;0.29;0.25;0.22;;2567,25
Piripá;BA;10253;Não;0.52;;0.59;0.19;0
Petrolina de Goiás;GO;10240;Sim;0.33;;0.77;0;0
Pescaria Brava;SC;10225;Sim;0.64;;0;;0
Paranaiguara;GO;10221;Não;0.01;0.01;0.08;0;102,21
Cristina;MG;10211;Não;0;0.01;0.1;;102,11
Porangaba;SP;10205;Sim;0.12;0.63;0.27;0.03;6429,15
Nova Veneza;GO;10193;Em elaboração;0.15;;0.14;0;0
Uchoa;SP;10191;Sim;0;0;0.07;0;0
Fontoura Xavier;RS;10181;Sim;0.62;;;0;0
Luís Gomes;RN;10175;Em elaboração;0.45;;0.3;0;0
Dumont;SP;10174;Sim;;;;;0
Itapebi;BA;10173;Não;0.21;;0.21;0.04;0
Piranhas;GO;10161;Não;0.13;;0.19;0;0
Ipuiúna;MG;10156;Não;0.29;0.45;;;4570,2
Bom Retiro;SC;10153;Sim;0.25;;0.15;0.15;0
Sinimbu;RS;10152;Sim;0.5;;0.43;0;0
Catanduvas;PR;10144;Em elaboração;0.26;;0.1;0.01;0
Porto Xavier;RS;10144;Sim;0.51;;0.37;0.05;0
Alfredo Wagner;SC;10136;Sim;0.61;;0.74;0.24;0
Nova Aurora;PR;10131;Sim;0;0.28;0.1;0;2836,68
Itamogi;MG;10122;Não;0.26;;0.06;0;0
São João;PR;10122;Sim;0.07;0.45;0.09;0.02;4554,9
Governador Newton Bello;MA;10121;Não;0.64;;;;0
Bonfinópolis;GO;10120;Em elaboração;0.09;;0.09;0;0
Marcelândia;MT;10107;Em elaboração;0;;0.12;0;0
Carneirinho;MG;10103;Sim;0.35;0.39;0.26;0;3940,17
Torrinha;SP;10100;Sim;0.07;0.09;0.08;0.01;909
Carlinda;MT;10094;Em elaboração;0.58;;0.49;0;0
Nova Bassano;RS;10089;Não;0.38;;0.38;0.05;0
Sigefredo Pacheco;PI;10074;Não;0.24;;0.38;0;0
Santa Tereza do Oeste;PR;10055;Não;0;;;0.01;0
Botuporã;BA;10050;Não;0.49;0.78;0.48;0;7839
Piraí do Norte;BA;10050;Em elaboração;0.63;;0.5;0.08;0
Reginópolis;SP;10047;Em elaboração;0.08;0.58;0.4;0.02;5827,26
Iretama;PR;10029;Em elaboração;0.09;;0.52;0.02;0
Corumbaíba;GO;10012;Sim;0.19;0.24;0.23;0;2402,88
Anísio de Abreu;PI;9994;Em elaboração;0.42;;0.26;0;0
Bom Jesus do Norte;ES;9988;Em elaboração;0.1;0.1;0.08;0.3;998,8
Itapeva;MG;9976;Sim;0.5;0.59;0.45;;5885,84
Manduri;SP;9972;Sim;0.08;0.08;0.1;0;797,76
Guaraciaba;SC;9964;Sim;0.37;;0.53;0;0
Mulungu;PB;9962;Não;0.46;;;;0
Nova Campina;SP;9962;Sim;0.33;0.44;0.05;0.02;4383,28
Planalto;RS;9957;Sim;0.35;0.65;0.43;0;6472,05
Ipupiara;BA;9954;Não;0.33;0.58;0.2;0;5773,32
Monte Carlo;SC;9945;Sim;0.1;;0.2;0;0
Rinópolis;SP;9940;Sim;;;0.13;0;0
Glória de Dourados;MS;9934;Em elaboração;0;0.83;0.23;0;8245,22
Santo Antônio das Missões;RS;9930;Sim;0.39;;0;;0
Umbuzeiro;PB;9914;Não;0.7;;;;0
Constantina;RS;9903;Sim;0.33;;0;0;0
Coronel Freitas;SC;9900;Sim;0.26;;0.29;0.02;0
Coroaci;MG;9897;Sim;0.47;0.44;;;4354,68
São João do Ivaí;PR;9897;Não;0;0.28;0;0;2771,16
Capim Branco;MG;9896;Não;0.11;0.8;0.09;0;7916,8
São Sebastião do Maranhão;MG;9884;Em elaboração;0.71;0.8;0.39;0;7907,2
Saudades;SC;9874;Sim;0;;0;0.09;0
Ipiranga do Piauí;PI;9863;Em elaboração;0.38;;0.33;0;0
Ariranha;SP;9851;Em elaboração;;;0.05;0;0
Arauá;SE;9840;Em elaboração;0.15;;0.35;0.06;0
Juru;PB;9831;Não;0.42;0.51;0.56;0;5013,81
Pureza;RN;9825;Não;0.59;;0.34;;0
Axixá do Tocantins;TO;9817;Sim;;;;;0
Formoso;MG;9810;Não;0.4;;0.22;0;0
Iaras;SP;9786;Em elaboração;0.67;0.68;0.49;0;6654,48
Quilombo;SC;9773;Sim;0.21;;0.44;0;0
Florânia;RN;9772;Em elaboração;0.09;0.23;0.2;0.03;2247,56
Bom Jesus da Serra;BA;9768;Não;0.7;;0.45;0;0
Lontra;MG;9766;Sim;0.51;0.79;0.28;0;7715,14
Imaruí;SC;9764;Sim;0.67;;0.55;0;0
Guia Lopes da Laguna;MS;9754;Sim;0.16;0.43;0.15;0.01;4194,22
Cavalcante;GO;9740;Em elaboração;0.48;;0.5;0;0
Pedrinhas;SE;9727;Em elaboração;0.63;;0.18;0;0
Alto Piquiri;PR;9722;Não;0;0.34;0.18;0.02;3305,48
Frei Inocêncio;MG;9716;Sim;0.33;;;;0
Candiota;RS;9707;Sim;0.67;0.71;0.38;0;6891,97
Manoel Urbano;AC;9701;Em elaboração;0.3;;0.34;0.06;0
Deputado Irapuan Pinheiro;CE;9698;Sim;0.31;;0.55;0;0
Canápolis;BA;9694;Sim;0.5;0.79;0.33;0;7658,26
Augusto Severo;RN;9686;Em elaboração;0.33;;0.42;0.02;0
Lagoa Grande;MG;9681;Sim;0.31;0.27;;;2613,87
Rondon;PR;9664;Sim;0;0.42;;;4058,88
Herculândia;SP;9649;Não;0.09;0.09;0.09;0.01;868,41
Igaratá;SP;9631;Sim;0.4;0.73;0.04;0;7030,63
Denise;MT;9626;Sim;;;0.14;0;0
Águia Branca;ES;9621;Não;0.71;0.68;0.43;0;6542,28
Sairé;PE;9600;Não;0;;0.17;0;0
Paula Cândido;MG;9597;Sim;0.46;0.43;0;0.12;4126,71
Campo Grande;AL;9576;Em elaboração;0.18;;;;0
Ferros;MG;9576;Sim;0.68;0.8;0.58;0.22;7660,8
Dom Inocêncio;PI;9574;Não;;;;;0
Japurá;PR;9573;Sim;0.11;0.29;0.04;0;2776,17
Verdejante;PE;9572;Sim;0;0.06;0.44;;574,32
Carneiros;AL;9568;Não;0.36;;;0;0
Agudos do Sul;PR;9567;Sim;0.37;0.8;0.43;0;7653,6
Pau Brasil;BA;9550;Em elaboração;0.32;;;;0
Rodelas;BA;9548;Não;0.05;0.05;0.06;0;477,4
Novo Mundo;MT;9545;Em elaboração;;;;;0
Verdelândia;MG;9527;Não;0.47;;0.36;0.04;0
Cachoeira Grande;MA;9524;Em elaboração;;;;;0
Araújos;MG;9523;Sim;0.14;0.17;0;;1618,91
Buriti Alegre;GO;9515;Não;0.06;0.85;0.1;0;8087,75
Olho d'Água do Casado;AL;9507;Em elaboração;0.42;;0.52;0;0
Terra Roxa;SP;9502;Em elaboração;0.14;0.1;0.05;0.01;950,2
Cumaru;PE;9494;Não;0.22;;;;0
Ilha Grande;PI;9487;Sim;0.04;0.38;0.15;0.05;3605,06
Triunfo;PB;9473;Não;0.58;;0.53;0.05;0
Riacho dos Machados;MG;9471;Em elaboração;0.51;0.71;0.53;0.05;6724,41
Cachoeira de Pajeú;MG;9470;Não;0.43;;0.4;0.33;0
Ministro Andreazza;RO;9461;Não;0.7;;0.7;;0
Palhano;CE;9458;Não;0.66;0.01;0.49;0.08;94,58
Cedral;SP;9452;Em elaboração;0.22;0.22;0.21;0;2079,44
Roncador;PR;9447;Sim;0;;0.38;0;0
Pirambu;SE;9436;Em elaboração;0.09;;0.08;0;0
Ananás;TO;9435;Não;0.09;0.62;0.15;0;5849,7
Sítio do Quinto;BA;9431;Não;0.43;;;;0
Carbonita;MG;9423;Não;0.18;0.4;0.31;0;3769,2
Francisco Santos;PI;9423;Em elaboração;0.48;;0.47;0;0
São Domingos;SC;9422;Sim;0.16;0.72;0.33;;6783,84
São Sebastião do Alto;RJ;9416;Em elaboração;0.49;;0;;0
Planaltino;BA;9415;Não;0.59;;;;0
Rio das Flores;RJ;9401;Sim;0.3;0.38;0.3;0.01;3572,38
Arenápolis;MT;9399;Sim;0.03;;0.04;0;0
Salto Grande;SP;9396;Em elaboração;0;0;0.1;0;0
Cardeal da Silva;BA;9395;Não;0.2;;0.37;0.76;0
Nazário;GO;9375;Não;0.26;;0.25;;0
Nova Monte Verde;MT;9375;Em elaboração;0.81;;0.45;0;0
Baía Formosa;RN;9373;Sim;0.08;;0;0.11;0
Japorã;MS;9372;Sim;0.82;0.82;0;0;7685,04
Tabaporã;MT;9357;Em elaboração;;;;;0
Wagner;BA;9342;Não;0.28;;0.14;0;0
Jaçanã;RN;9341;Em elaboração;0.34;0.55;0.33;0;5137,55
Caputira;MG;9318;Sim;0.62;0.5;0.31;0.37;4659
Itapiranga;AM;9312;Em elaboração;0.11;;0.21;;0
Caturama;BA;9303;Não;0.51;0.84;0.44;0;7814,52
Silves;AM;9289;Em elaboração;0.14;;0.52;0;0
Terra Nova do Norte;MT;9284;Não;0.22;;0.68;0;0
Euclides da Cunha Paulista;SP;9280;Não;0.31;0.39;;;3619,2
Vila Pavão;ES;9280;Não;0.66;0.68;0.65;0;6310,4
Mambaí;GO;9277;Sim;0.32;;0.07;0;0
Açucena;MG;9270;Sim;0.64;0.53;0.44;0;4913,1
Passo de Torres;SC;9269;Sim;0.07;;0.08;0.01;0
Tunas do Paraná;PR;9269;Não;0.46;;0.43;0;0
Amapá;AP;9265;Em elaboração;0.76;0.96;0;0;8894,4
Murici dos Portelas;PI;9258;Em elaboração;0.73;;0.8;0.05;0
Natividade;TO;9256;Em elaboração;0.14;;0.2;0;0
Várzea do Poço;BA;9247;Sim;0.19;0.78;0.35;0;7212,66
Mara Rosa;GO;9234;Sim;0.17;0.33;0.25;0;3047,22
Antônio Dias;MG;9233;Sim;0.61;;;;0
Chapada;RS;9211;Em elaboração;0.41;;0.3;0;0
Santa Maria do Oeste;PR;9210;Sim;0.46;;0.57;0;0
Bálsamo;SP;9209;Em elaboração;0;0;0;0;0
Coronel Murta;MG;9209;Não;0.3;0.63;0.27;0;5801,67
Penaforte;CE;9207;Não;0.48;;0.2;0;0
Baía da Traição;PB;9197;Não;0.35;;;;0
Palmeira d'Oeste;SP;9173;Não;0.02;0.03;0.24;0;275,19
Vista Alegre do Alto;SP;9163;Em elaboração;0;0;0.08;0;0
Abadia de Goiás;GO;9158;Sim;0.28;0.64;0.32;0;5861,12
Prados;MG;9128;Sim;0.3;0.31;0.17;;2829,68
Nova Redenção;BA;9126;Não;0.21;;0.52;0;0
Rafard;SP;9126;Sim;0;0;0;0;0
Urânia;SP;9125;Não;0.02;0.02;0.16;0;182,5
Palmeiras;BA;9123;Não;0.38;0.54;0.19;;4926,42
Anaurilândia;MS;9116;Sim;0.5;0.78;0.49;0;7110,48
Santa Rita do Araguaia;GO;9110;Não;0.13;;0.11;0;0
Coqueiral;MG;9099;Não;0.17;0.21;0.29;0.01;1910,79
Iporã do Oeste;SC;9093;Sim;0.34;;0.51;0;0
Dobrada;SP;9088;Sim;0.02;0.02;0.02;0;181,76
São Domingos;BA;9085;Não;0.22;;0;0;0
Antônio João;MS;9082;Em elaboração;0.18;0.62;0.17;0;5630,84
Casca;RS;9070;Sim;0.41;;0;0.03;0
Montes Altos;MA;9064;Não;0.48;;;;0
Nova Maringá;MT;9056;Sim;0.31;;0.31;0;0
Siriri;SE;9046;Sim;0.63;;0.45;0;0
Queimada Nova;PI;9041;Não;0.68;;0.86;0;0
São Jorge d'Oeste;PR;9005;Sim;0.14;;0.43;0.03;0
Vicentinópolis;GO;9002;Não;0;;0.14;;0
Pantano Grande;RS;8995;Sim;0.16;;0;0.01;0
São José da Bela Vista;SP;8991;Em elaboração;0;0;0.11;0;0
Douradina;PR;8988;Não;0;;0.35;0;0
Santanópolis;BA;8987;Não;0.59;;0.67;0;0
Brejão;PE;8981;Sim;0.5;;0.39;0;0
Paulo de Faria;SP;8973;Sim;0.08;0.09;0.1;0;807,57
Itauçu;GO;8968;Não;0.23;0.34;0.25;0.08;3049,12
Sítio Novo do Tocantins;TO;8965;Sim;0.47;0.78;0.14;0.01;6992,7
Rio Novo;MG;8964;Em elaboração;0.25;0.01;0.13;0.05;89,64
Morada Nova de Minas;MG;8955;Sim;0.26;0.47;0.23;0.01;4208,85
Quixabeira;BA;8939;Em elaboração;0.1;;0.39;0;0
Guarani;MG;8926;Sim;0.21;0.21;0.21;0.01;1874,46
Neves Paulista;SP;8917;Em elaboração;0.1;0.1;0.1;0;891,7
Bom Jardim de Goiás;GO;8912;Não;0.24;;0;0;0
Caém;BA;8912;Não;0.16;0.94;0.33;0;8377,28
Cordisburgo;MG;8903;Sim;0.34;0.64;0.31;0.02;5697,92
Santa Rita de Caldas;MG;8900;Não;0.41;0.51;0.37;;4539
Congonhinhas;PR;8896;Sim;0.34;;0.42;0;0
Clementina;SP;8894;Em elaboração;0.05;0.05;0;0;444,7
Filadélfia;TO;8892;Não;0.25;;0.38;0;0
Santa Lúcia;SP;8889;Sim;0.07;0.07;0.06;0;622,23
Dourado;SP;8883;Sim;0;0;0.09;0.03;0
Guamiranga;PR;8881;Sim;0.52;;0.72;0.04;0
Pereiras;SP;8875;Sim;0.16;0.33;0.02;0;2928,75
São Sebastião da Amoreira;PR;8865;Sim;0;;0.12;0.01;0
Jucuruçu;BA;8856;Não;0.66;;;;0
Maravilha;AL;8850;Em elaboração;0.41;;0.5;0.22;0
Ibiassucê;BA;8849;Sim;0.43;;;;0
Aratuípe;BA;8848;Em elaboração;0.38;;0.34;0.12;0
Armazém;SC;8843;Não;0.45;;0.12;0;0
Brejo de Areia;MA;8841;Não;0.14;;0.49;;0
Lago dos Rodrigues;MA;8841;Em elaboração;;;0.38;;0
Moraújo;CE;8833;Não;0.68;;;;0
Piedade de Caratinga;MG;8832;Sim;0.4;;;;0
Ibitirama;ES;8830;Em elaboração;0.35;0.48;0.43;0.14;4238,4
Nossa Senhora Aparecida;SE;8822;Não;0.03;0.6;0.32;0;5293,2
Redenção do Gurguéia;PI;8814;Sim;0;;0.36;0;0
Coluna;MG;8810;Sim;0.56;;0.58;;0
Central do Maranhão;MA;8806;Não;;;;;0
Cristais Paulista;SP;8803;Não;0.27;0.27;0.01;0;2376,81
Cezarina;GO;8794;Não;0.26;;0.24;0;0
Marilândia do Sul;PR;8793;Sim;0.04;0.78;0.29;0.01;6858,54
Martins;RN;8790;Sim;0.11;;0.25;0;0
Castanheira;MT;8782;Em elaboração;0.52;;0.53;0;0
Monsenhor Paulo;MG;8764;Sim;0.25;0.25;0.17;0;2191
Santa Terezinha;SC;8760;Sim;0.76;;0.6;0;0
Monte Alegre de Goiás;GO;8759;Não;0.59;;0.59;0.01;0
Nossa Senhora dos Remédios;PI;8751;Em elaboração;0.66;;0.64;0;0
Alvorada do Norte;GO;8749;Sim;0.14;0.18;0;;1574,82
Marcação;PB;8746;Em elaboração;0.11;;0.45;0;0
São Vicente do Sul;RS;8742;Sim;0.3;;0.2;0;0
Ibirapuã;BA;8740;Não;0.43;0.31;0.2;0;2709,4
Serranópolis;GO;8737;Não;0.26;;0.26;0;0
São Domingos do Norte;ES;8735;Sim;0.51;0.65;0.4;0.01;5677,75
Varzedo;BA;8734;Não;0.64;;0.43;0;0
Mucugê;BA;8725;Não;0;0.6;0.4;0;5235
Serra dos Aimorés;MG;8725;Não;0.3;0.63;;;5496,75
Santa Cruz de Minas;MG;8723;Sim;0;0;0;0.04;0
Pimenta;MG;8715;Sim;0.01;0.13;0.11;0;1132,95
Antônio Carlos;SC;8712;Sim;0.18;;0.45;0.08;0
Nazareno;MG;8710;Sim;0.36;0.24;0.06;0.01;2090,4
Mata Verde;MG;8700;Não;0.2;0.2;0.19;0;1740
Capitólio;MG;8693;Sim;0.21;0.21;0;0.03;1825,53
Piranguinho;MG;8683;Em elaboração;0.39;0.38;0;0.06;3299,54
Abaíra;BA;8681;Não;;;;;0
Ouro Verde;SP;8676;Em elaboração;0;0;0.09;0;0
Cordeiros;BA;8667;Em elaboração;0.66;;0.57;0;0
Arealva;SP;8665;Sim;0.27;0.34;0;0;2946,1
Santana do Manhuaçu;MG;8660;Sim;0.63;0.39;0.28;0.27;3377,4
Caraíbas;BA;8659;Em elaboração;0.75;;;;0
Virgínia;MG;8652;Sim;;;;;0
Tangará;SC;8648;Sim;0.32;;0.31;0.01;0
Mataraca;PB;8642;Não;0.03;;0.14;0;0
Tasso Fragoso;MA;8642;Em elaboração;0.42;0.76;0.13;0;6567,92
Califórnia;PR;8641;Não;0;0.84;0;0;7258,44
Martins Soares;MG;8640;Sim;0.77;;0.54;;0
Nazária;PI;8632;Em elaboração;0.73;;0.59;0;0
Catuípe;RS;8631;Sim;0.36;0.92;0.36;0.01;7940,52
Jordão;AC;8628;Sim;0.63;;0.66;0.27;0
Lagoa Alegre;PI;8610;Em elaboração;0.59;;0.62;0;0
Magalhães Barata;PA;8598;Não;0.53;;;;0
Angelândia;MG;8594;Não;0.4;0.41;;0.01;3523,54
Camutanga;PE;8592;Não;0.11;;0.2;0;0
Lajedo do Tabocal;BA;8591;Sim;0.39;;0.32;0.03;0
Comendador Levy Gasparian;RJ;8590;Não;0;0.04;0.04;0.21;343,6
Marcolândia;PI;8590;Em elaboração;;;0.01;0;0
Isaías Coelho;PI;8582;Não;0.65;;0.77;0;0
Ouriçangas;BA;8575;Em elaboração;0.3;;;;0
Jóia;RS;8571;Não;;;0.7;0;0
Praia Norte;TO;8563;Sim;0.34;0.7;;;5994,1
Riacho dos Cavalos;PB;8555;Não;1;0.53;0.52;0;4534,15
Tarrafas;CE;8555;Em elaboração;0.75;0.98;0.35;0;8383,9
Santa Terezinha;MT;8547;Não;;;;;0
Paverama;RS;8541;Sim;0.78;;0.12;0.01;0
Santo Antônio do Aracanguá;SP;8541;Não;0.18;0.18;0.06;0;1537,38
Pratápolis;MG;8530;Não;0.12;0.2;0.12;0.01;1706
São Gonçalo do Abaeté;MG;8527;Sim;0.57;0.59;0.31;0;5030,93
Ilha das Flores;SE;8522;Não;0.01;0.35;0.06;0;2982,7
Feira Nova do Maranhão;MA;8506;Não;;;;;0
Milagres do Maranhão;MA;8502;Não;;;0.78;;0
Tuneiras do Oeste;PR;8502;Sim;0.31;0.47;0.3;0;3995,94
Saltinho;SP;8498;Sim;0.07;0.17;0;0;1444,66
Boa Vista do Gurupi;MA;8494;Em elaboração;0.27;;0.29;0.28;0
São João da Baliza;RR;8492;Em elaboração;0.32;;;0;0
Santa Isabel do Ivaí;PR;8484;Sim;0;0.22;0.19;0;1866,48
Aparecida;PB;8482;Não;0.39;0.47;0.5;0.19;3986,54
Ibiaí;MG;8478;Sim;0.35;0.74;0.23;0.02;6273,72
Morpará;BA;8476;Não;0.34;;;;0
Araponga;MG;8467;Sim;0.62;0.62;0.32;0;5249,54
Japaratinga;AL;8444;Não;0.53;;0.73;0;0
Barra de São Miguel;AL;8434;Não;0.15;0.84;0.15;0;7084,56
Caraá;RS;8426;Sim;0.05;;0.47;0.02;0
Estrela d'Oeste;SP;8420;Sim;0;0.02;0;0;168,4
Jangada;MT;8420;Em elaboração;0.62;;0.6;0;0
Araguaçu;TO;8418;Sim;0.23;;0.29;0;0
Santa Rosa do Sul;SC;8397;Sim;0.35;;0.46;0.03;0
Brejo Grande;SE;8396;Não;0.22;0.51;;;4281,96
Pavão;MG;8390;Não;0.4;0.41;0.39;0.4;3439,9
Vera Cruz do Oeste;PR;8389;Não;0;0.2;0.24;0;1677,8
Santa Terezinha de Goiás;GO;8386;Não;0.25;;;;0
Campo Florido;MG;8383;Em elaboração;0.29;0.29;0.24;0;2431,07
Alvorada;TO;8381;Sim;0.05;;0.07;0;0
Montezuma;MG;8379;Em elaboração;0.6;0.69;0.53;0;5781,51
Jauru;MT;8377;Não;0.41;0.5;0.41;0.02;4188,5
Itaquara;BA;8375;Em elaboração;0.4;;;;0
Madeiro;PI;8372;Em elaboração;;;0.57;;0
Brasileira;PI;8364;Sim;0.32;;0.28;0.06;0
Icém;SP;8363;Sim;0.06;0.11;0;0.01;919,93
Irapuru;SP;8356;Em elaboração;0.29;0.29;0.29;;2423,24
Cristalândia do Piauí;PI;8350;Sim;0.89;;;;0
Entre-Ijuís;RS;8350;Sim;0.45;;0.01;;0
Lagoa Salgada;RN;8348;Não;0;;0.14;0.02;0
General Câmara;RS;8339;Sim;0.41;;0.41;0.02;0
Barra de Santana;PB;8338;Sim;0.93;;0.69;0;0
Rodeiro;MG;8333;Sim;0.24;0.02;0.19;0;166,66
Desterro;PB;8332;Sim;0.45;;;;0
Nova Itarana;BA;8328;Não;0.17;0.76;0.63;0;6329,28
